content,score
"bagus ini aplikasi, bisa untuk melihat total pendapatan sama total pengeluaran, asal rajin nulisnya aja, kekurangannya kalo untuk saya pribadi untuk bagian cicilan atau pembayaran berulang, padahal belum tanggalnya tapi transaksinya sudah kelihatan dari awal, harusnya transaksinya terlihat ketika sudah ditanggal yang sudah ditetapkan, tapi untuk yang lainnya menurut saya sudah ok, kedepannya mungkin saya perbaiki ulasannya jika ada perubahan yang lebih baik atau buruk",5
"Andai gw tau ni apk dari dulu gw nyatett!! Fiturnya lengkap sampe ngga kepikiran jg pake grafik buat liat tren pengeluaran. Ngga cuman bisa liat bulanan, bisa diatur mingguan dan direkap per sub kategorinya pun! Mantap josnya pokoknya. Sukses selalu buat devnya.",5
mudah digunakan. iklan pun sedikit dan dalam batas wajar. aplikasinya lengkap. pokoknya the best lah ... suka banget sama aplikasi ini. terimakasih developer,5
"goal keuangan yg besar d mulai dari pencatatan keuangan untuk hal-hal kecil, rapih, detail, semua fungsi tersebut sudah di sediakan aplikasi ini, dan sangat membantu.",4
"pengelola keuangannya sangat mudah digunakan, mungkin saran saja kalo ditambahi fitur sub akun dari nama aset. contoh: - Group: investasi - Nama aset: saham - Sub aset: bbca - sub aset: bbri terimakasih",5
"saya pengguna baru aplikasi ini saya kira susah untuk pakai aplikasinya, dan ternyata tidak, mudah sekali memakai ini aplikasi saya juga sempat bertanya ke ai, dia merekomendasikan aplikasi ini sebagai catatan saya, ternyata 👍",5
"ini apk pembukuan yng saya cari² selama ini, udh nyoba aplikasi lain tapi fiturnya gaada yang cocok, lebih cocok aplikasi ini",5
"aplikasi nya sungguh membantu, keren banget sumpah. terima kasih banyak",5
sangat membantu mencatat pengeluaran (kecuali bagian iklannya),5
"bagus buat management keuangan, apalagi buat anak akuntansi",5
Aplikasi paling ngebantu buat catat keuangan!,5
"Tampilannya oke, pilihan bahasanya banyak, fiturnya lengkap, bukan cuma pemasukan dan pengeluaran, tapi juga ada fitur budget/anggaran dan bisa bikin banyak kantong aset, tapi sayangnya belum ada fitur untuk mencatat utang-piutang.",4
"dari sekian banyak aplikasi yang pernah kucoba, akhirnya aku milih ini buat di pakai sehari hari karena simpel dan fiturnya nggak bikin pusing",5
bagus banget apkikasi ini jadi jelas pengeluaran sama pemasukan jd semangat jualan,5
"baguss apk ny, hanya saja saya gk se konsisten itu buat nyatet hehehe",4
Sangat membantu untuk mencatat pengeluaran dan pemasukan usaha saya. Terimakasih,5
"sukaa banget sama apk ini, iklannya juga bisa di skip, fiturnya banyaak, jadi bisa tau berapa uang masuk dan keluar. semoga kedepannya kalo ada update gausa yg aneh² ya.",5
aplikasi ini sangat membantu untuk mencatat keuangan keluarga. sangat bermanfaat untuk mengetahui jenis pengeluaran kita setiap bulannya. 👍👍👍,5
sudah baik dan terus tingkatkan,5
"cukup bagus, walau kalau pakai latar belakang gelap untuk biru dan merah agak susah lihatnya",5
"mudah di gunakan dan sangat membantumu melihat jumlah pengeluaran bulanan, jadi bisa atur keuangan lebih baik",5
Tidak ada fitur menampilkan semua transaksi dari tahun sekian sampai saat ini(sekarang) jadinya susah berapa total pengeluaran saat ini atau selama ini,2
"Sampai sekarang fitur Cetak Laporan lewat Pdf belum tersedia, sementara di aplikasi yg serupa sudah byk yg tersedia.",5
"aplikasi ini sangat membantu saya untuk mencatat hasil pengeluaran saya, apalagi saya seorang perantau, ini sangat cocok untuk tau pengeluaran harian kita",5
direkomendasikan.. aplikasinya bagus dan sangat membantu dan mempermudah pencatatan keuangan rumah tangga,5
Cukup mudah operasi nya dan mendkung data dengan baik,5
sangat bermanfa'at apalagi jika tanpa iklan tambah mantab pastinya,5
Walaupun banyak iklan tapi sangat membantu dalam mengeloka keuangan,5
aplikasi ini sangat membantu saya dalam memantau kemana saja uang saya saya gunakan sehingga dapat memudahkan saya untuk memperbaiki sistem keuangan saya dibulan depannya,5
"tambahkan fitur bunga investasi, kayaknya aplikasi lain belum ada deh",5
"mantap bisa tau apa aja yg kupakai, saran iklan boleh tapi jgn video cukup pop up saja dibawah",5
"dicoba dulu ya, sejauh ini masih mengakomodir kebutuhan pencatatan keuangan rumahan, thanks dev",5
aplikasinya sangat bermamfaat dan mudah difahami,5
sangat bermanfaat utk mencatat pendapatan dan pengeluaran..,5
"interface bagus, simple dan ringan",5
bagus simple bisa inget pengeluaran n pemasukan harian bulanan n tahunan,5
"aplikasi yg bagus, ada notifnya buat reminder catat pemasukan/pengeluaran. bisa setting periode cut off pembukuan juga, oke banget.",5
"Aplikasi nya sangat bagus, mudah dipakai, dan simpel. Mungkin tinggal di kasih petunjuk untuk penggunaan beberapa fitur agar lebih mudah dipahami.",5
"iklan ga banyak, pengaturan fleksibel, dan fiturnya mudah difahami, tinggal tutorialnya aja yg ga ada",5
"Apps nya bagus detail, tapi kurang di filter pencarian tidak bisa pilih all time dan custome date hanya per 1 bulan",4
"Sangat Detail, Mudah dibaca, punya Sub Menu, Statistik per kategori.!! bisa dicadangkan !!!",5
"sejauh ini sangat membantu, UI simpel dan fungsional, walau kadang ada iklan, tapi sangat2 dipahami dan gak tiap buka juga munculnya overall bagus, recomended",5
"aplikasi pengelolaan keuangan pribadi yang paling praktis, mudah dan efisien. UI/UX mudah dipahami, sehingga lebih gampang digunakan tanpa perlu memahami rumus ekonomi yang rumit",5
"Sangat membantu untuk mencatat pengeluaran. Sayang sekali, ini tidak berbasis akun. ketika hp hilang atau app teruninstall, semua data hilang.",5
bagus tapi kalau bisa ada kalkulasi bulanan dan saran lebih uang ny di larikan ke mana,5
kerenn. fiturnya sangat lengkap.. ini yang selama ini saya cari.. dan nilai plus nya apk ini tidak ada iklan sama sekali.. jadi kita bisa nyaman pakai harian..,5
cukup detail namun untuk penganggaran vs aktualisasi dana saya nda lihat ya...,5
"Sangat membantu aku yg ngurus keuangan rumah. Fitur nya mudah digunakan, iklan nga juga gak terlalu mengganggu. Mantap. udh lama banget pake ini",5
"saya sudah pakai seminggu, tapi entah kenapa datanya hilang sendiri. jadi saya kehilangan pencatatan keuangan saya",3
selama pakai apk ini jadi tahu jumlah pemasukan/ pengeluaran setiap bulannya.. pokoknya apk ini oke sih buat ibu rumah tangga yang nulis pengeluaran.,5
"Jujur menyesal banget baru tahu app ini. Paling berguna dan membantu. Kita bisa mengubah jam/menit, jadi cukup flexibel andai kata baru ingat harus mengisi. Yg paling utama bisa masukan gambar, ini paling penting dan paling berguna, karena agar kita ingat tujuan pengeluaran dana. Nilai 1000 dan 100, terima kasih banyak.",5
"sangat membantu, boleh juga nih aplikasi... teruss semangat devloper",5
"aplikasinya membantu banget nyatet outcome harian, cash mau pun saldo bisa ditulis akurat, good job! sukses developer.",5
"membantu banget buat yg susah catat mencatat keuangan pribadi, kuta jadi bisa tau trek record uang masuk dan keluar, jadi ketauan tuh boncos gara² apa, thx dev",5
"Lebih mudah untuk menghitung pengeluaran, dan kemudian mengendalikannya agar saldo tidak sampai minus.",5
"Oke, kategori bisa custom. Aplikasi bagus, simple, juga berguna. Saya sudah memakai ini sejak tahun lalu, dan suka.",5
baguss simple dan sgt membantu 👍,5
"gonta ganti aplikasi, rupanya ini yg paling cocok, sederhana, lengkap, bisa pantau pengeluaran",5
"Jujur aplikasi pencatatan yang paling enak dari sekian banyak dah nyoba. Fiturnya simpel dan ga bikin ribet, sangat recomended to try it",5
Kalau Bisa Jangan Ada Iklan,5
Bagus dan cukup membantu,5
Sangat membantu untuk mengelola keuangan yg masuk dan keluar. Fitur sejauh ini ada semua yg dibutuhkan,5
Aplikasi ini sangat membantu untuk pengendalian dan pemantauan keuangan,5
"Simple & bisa dipakai dg baik. Sangat membantu dlm keuangan sehari². Sekedar masukan, Waktu ada ulasan yg mengajukan ""fitur buku besar"", saya rasa itu supaya mencatat jenis pengeluaran/pemasukan per jenis yang digabungkan dlm beberapa bulan. jadi bisa bandingin per bulannya. Kan saat ini hanya bisa klik per jenis dari diagram dengan range 1bulan saja..",4
"Akhirnya nemu yg ak cari, aplikasi ini lengkap, dari ada anggaran untuk sebulan, bisa atur kategori pengeluaran dan pendapatan, bisa tambah aset misal tunai, kartu, tabungan dll, bisa atur pengeluaran berulang setiap hari sampe tahun dan yg paling dasar ada grafik nya",5
Mulai banyak iklannya sekarang,4
aplikasi nya bagus dan sangat membantu bangettt,5
"sangat bagus aplikasinya sangat bermanfaat buat pengelolaan keuangan kita, bayak fitur-fitur nya yang menarik, pokoknya best banget dehh,",5
Sangat membantu untuk fitur export menjadi file excel,5
"keren banget, tapi sayang nya banyak iklan",3
"bagus, sangat membantu dalam keuangan. Tolong kembangkan lagi fiturnya",4
"cukup sederhana aplikasinya, iklanya sedikit ganggu pandangan",5
"Aku seneng bgt akhirnya ada app pengelola keuangan yg aku mau, bener2 simpel, ga ribet, dan ditambah lagi ada akses ke galeri utk memudahkan aku nyimpen nota atau bill dri kebutuhan yg baru aku beli di catatan laporan keuangan baik utk uang masuk atau uang keluar. Ada statistiknya juga sehingga memudahkan aku utk tau laporan harian, mingguan dan bulanan trkait kebutuhan mana yg pengeluarannya lbih dominan dan perlu dikurangin. Sukses dah",5
"sebetulnya ini bagus, tapi gatau kenapa ini cuma bisa perbulan. masalahnya saya itu gajian di tgl 25-30. ketika masuk ke bulan baru, itu sisa uang sebelumnya otomatis terhapus. jadi kalau ada transaksi, ga terhitung dari dana sebelumnya tapi jadi minus. Pusing saya. tolong dibantu ini gimana.",2
sayangnya ga bisa export ke pdf,5
aplikasi ini sangatlah bagus..membantu dalam pembukuan usaha,5
"Saya merekomendasikan teman teman yg baru belajar mengelola keuangan sederhana dan dasar, karena sudah ada fitur catat harian, bugeting, anggaran, aset, dll. Mungkin masukkan kedepan bisa ada fitur sinking fund atau mengelola tabungan, good job 👍🏻",5
sangat cocok untuk anak kuliahan seperti saya,5
"Bagus banget, terbantu karena bisa set banyak ""akun"". Misal mau ada rekening bank A dan bank B dst, saldo gopay, tabungan dll bisa di-list semua. Bisa input data pengeluaran/pemasukan dari tiap akun. Lalu ada opsi transfer (antar akun), dan bisa input biaya transfer (cth: transfer 100rb dari rekening bni ke bca saya, biaya trf 6500, saldo 100rb bank bni pindah ke bank bca, dan rekening bni tercatat berkurang/ada pengeluaran 6500 saja). Utk versi free ada iklan tp menurut saya tidak mengganggu",5
"Overall bagus banget aplikasinya, sangat membantu untuk pencatatan keuangan pribadi. Cara untuk tracking pengeluaran - pemasukan juga mudah. Mungkin bisa ditambahkan fitur untuk Savings yaitu target saving/tabungan lengkap dengan sudah berapa persen tercapainya saving tersebut. Terimakasih",5
Untuk fitur-fiturnya sudah keren dan menurut saya sangat bagus. Tapi kurangnya logo untuk setiap akun yang di gunakan membuat aplikasi ini terasa membosankan saya harap untuk dapat menambahkan logo untuk setiap transaksi yang di lakukan di dalamnya untuk menambah kemenarikan aplikasi ini. terimakasih...,5
"Cukup membantu,cukup bagus Hanya saja bagian aset kenapa kosong ya?apa tdk tersambung dari inputan harian?soalnya sudh diisi bbrp bulan tpi gk muncul,kecuali klik grafiknya baru ada pengeluaran dan pendapatan. kalo bisa gimana caranya?",4
"Pc manager nya bisa ngga supaya bisa online/terhubung terus? Setelah aku beli laptop, kirain jadi bisa dengan gampang buka di laptop aja. Ternyata app di hp harus selalu terbuka dalam kondisi standby. Sedangkan aku mau ngecek hal lain dengan hp jadinya aplikasi pengelola keuangan di hp akan tertutup. Bisa ngga kalo kita klik ""mulai"", pc manager nya itu ga bakal mati sendiri sebelum kita tekan ""keluar"". Gitu loh.",4
simple dan sangat membantu,5
aplikasi ini sangat membantu bagi saya dalam mecatat keuangan saya. sangat bangus aplikasi ini.,5
"membantu banget dalam pencatatan keuangan, app ini selain transaksi juga bisa mencatat aset kita",5
"baguss, aplikasi sangan memudahkan",5
"bagus, membantu mengevaluasi pengeluaran",5
oke sangat membantu melihat mengatur dan mengontrol keuangan,5
"saya telah memakai aplikasi ini di IOS dan Android, namun sejujurnya layout ketika memilih kategori pengeluaran lebih nyaman di IOS(grid view) ketimbang di Android (vertical list). mudah mudahan kedepan ada opsi untuk tampilan grid di android, karena sangat memudahkan dari segi UI/UX nya. thanks",3
KEREN LENGKAP SEMUA FITUR ADA DAN OTOMATIS,5
"sangat bermanfaat untuk mencatat keuangan, fitur nya lengkap",5
"Sangat layak mendapat bintang 5. Dari semua aplikasi pengelola keuangan yang saya coba, akhirnya pilihan terbaik jatuh pada aplikasi ini. Awalnya bingung karena cuma bisa menggunakan beberapa fitur saja. Setelah bertanya dengan mengirim email langsung, ternyata direspon dalam waktu max 3x24jam, dan semua fitur termasuk fitur hutang bisa tersinkronisasi dengan pengeluaran dan excel dapat digunakan secara gratis. Terima kasih banyak",5
"sangat membantu ,walau tidak harus premium sdh mmbantu dlm pencatatan keuangan",5
Aplikasi yang sangat memudahkan pencatatan keuangan karena bisa menyimpan banyak jenis tabungan. Saran sih kalo busa ada menu investasi. Dan lebih keren lagi kalo otomatis terhubung sama mutasi bank dan fintech jadi biar pemasukan dan pengeluaran bisa tercatat otomatis.,5
"Aplikasi ini sangat membantu dan memudahkan saya dalam melakukan pencatatan keuangan. Tentunya dengan fitur yang sudah cukup lengkap, menjadikan aplikasi ini nyaman digunakan bagi saya yang telah mencoba beberapa aplikasi. Jika upgrade ke premium, maka bisa juga melihat laporan keuangan melalui komputer. Pengaturan dapat disesuaikan kebutuhan, sumber pendapatan dan pengeluaran juga bisa. Bahkan dapat merencanaan budget per post pengeluaran. Pokoknya keren deh",5
Alhamdulillah nemu Aplikasi ini dikasih tau sama anak sulungku yg lg kuliah jurusan Manajemen jd praktis gak hrs catat di buku...berguna sekali untuk bisa tau pengeluaran sehari hari jd terpantau juga keuangan yg kita punya sehingga bisa membatasi keinginan yg bukan kebutuhan apabila harga nya over buget,5
aplikasinya sangat bagus dan bermanfaat,5
Aplikasinya bagus dan detail tapi kenapa ketika saya export jadi Excel dan mau cetak cuma ada catatan transaksi sedangkan totalan sisa saldo dan detail saldo di tiap akunnya gak dimasukkan? Padahal pergerakan hitungan uangnya berkurang juga penting. Tolong perbaiki lagi excelnya. Sisanya sempurna.,4
"Agak kecewa beli premium, sebenarnya cukup ok tapi ada yang kurang, anggaran harusnya bisa milih beberapa kategori seperti anggaran operasional kategorinya makan,pulsa,bayarkosan kemudian anggran pas di klik muncul rincian transaksi seperti aplikasi manajer keuangan dari Ktw apps, saldo yang tidak include total harusnya dijumlahkan di grup tapi tidak masuk aset biar memudahkan pemantauan",3
"Aplikasinya sangat bagus dan lengkap, cocok buat pemula juga. banyak fitur yang menarik dan mendukung pencatatan keuangan, mulai dari harian, mingguan, bulanan hingga pengaturan anggaran dalam satu tempat, bahkan ada memo juga. Belum lagi ada kalender yang memudahkan melihat pengeluaran dan pemasukan uang kita. Gak cuma itu, ada juga fitur bank, ewallet, uang tunai, serta kartu dll, trs tingkatkan, sangat bagus",5
"aplikasi yang mantap dan simple, bisa mencatat keuangam dengan jos 👌👌",5
Aplikasi ini untuk UI sangat mudah di pahami dan enak dilihat simpel tp elegan,5
tambahkan fitur menabung dan perkiraan harinya agar bisa membantu memenuhi target tabungan,4
"Apknya bgus bgt, dulu saya mencatat pengeluaran secara manual, sekarang setelah menemukan apk ini, kontrok untuk pengeluaran menjadi mudah dan tampilan lebih menarik. Saran untuk kedepan, semoga bisa ditmbahkan fitur sendiri untuk rincian pengeluaran yg bisa ditambahkan sendiri oleh pengguna, misal bensin, (diapk hanya ada untuk kendaraan), etc etx",5
bagus... detail fiturnya.... lengkapdengan pemindahan kas... mantappp... semangat developer....,5
"memang paling best deh, simpel dan rinci apk pengelolaannya",5
UI nya simple ga ribet dan gampang buat dipahami,5
cukup bagus cuman saldonya tidak mengikuti ke bulan berikutnya...kenapa ya..,5
"rekomendasi banget buat pemula yang mau belajar mengatur keuangan,fiturnya juga mudah dipahami,ga ribet,pokoknya jos jis",5
"bagus, simple, lengkap, minim iklan, mantappp",5
"Fitur lengkap, terima kasih banyak telah memudahkan kerjaanku🙏",5
aplikasinya bagus. simpel tapi lengkap. ada reminder hariannya,5
Aplikasi pengelolaan keuangan sangat lengkap khususnya mata uang & kurs ada,5
"mantap, terus berkembang tanpa iklan ya 😁",5
Sangat membantu dalam mengelola keuangan. Iklannya pun jarang,5
"Bukan yang terbaik, tapi app keuangan yang cukup recomended. Beberapa fitur cukup membantu. Cuman untuk fitur berbagi belum ada. Bisa diperbaiki lagi dengan menambahkan fitur berbagi untuk rincian pengeluaran dan pendapatan ataupun total baik perhari,perminggu,perbulan maupun pertahun,dengan format pdf atau format lain.",4
"Aplikasi yg sederhana dan ramah untuk pengguna baru agar bisa menyesuaikan membaca laporan keuangannya. bisa ekspor ke file csv dan excel. ada fitur connect ke laptop/komputer gg memudahkan dalam membuat laporan akhir bulan, namun itu adalah fitur berbayar. Aplikasi ini juga ringan dan minim distraksi yg tidak perlu, sehingga bisa fokus membaca keuangan pribadi.",5
"Bagus banget sih, tapi terlalu kompleks. Input data, terlalu banyak kolom yg bisa di isi. Aku melihatnya jadi 'males'. Bisa bahasa Indonesia, dll. Pokoknya lengkap. Tapi, yg aku belum nemu adalah expor axcel. Tapi, mungkin bisa di akali dengan fitur ""PC"". semoga membantu.",5
"aplikasinya udah bagus banget, tapi buat saran, tolong banget bikin fitur pembukuan ganda, seperti misalnya tabungan pribadi, dana cadangan, dan keuangan sehari-hari di dompet jadi ga kecampur. i'm looking forward for this update! tapi tetep overall udh bagus banget!",4
"Menyenangkan. Fitur lengkap, bisa menambah beberapa dompet, dan melakukan transfer antar dompet, ada ringkasan transaksi per hari per Minggu per bulan dan per aset (dompet). Sayangnya belum ada fitur catatan untuk hutang piutang mungkin nanti bisa ditambahkan. Tp overall sgt memuaskan drpd app yg lain untuk pencatatan keuangan. Terima kasih.",5
"dari beberapa aplikasi keuangan yang pernah saya coba , aplikasi ini yang paling sesuai dengan keinginan saya. fiturnya lengkap, UI nya simpel, ringan dan mudah dipahami, serta minim iklan. semoga nantinya bisa berkembang terus lebih baik lagi",5
"sejauh ini apk ini sangat membantu. tidak berbayar dan semoga saja seterusnya pun begitu. fiturnya mudah dipahami untuk pemula. no ribet ribet club. pengeluaran, income, cash or bank semua terdata. saran sih ada simpanan berupa Emas yg menggunakan gram jadi bukan bentuk nominal hehe",5
"tolong solusinya buat pengelola aplikasi ini, saya suka aplikasi ini maka saya memutuskan upgrad ke premium seharga Rp 99.000, awal2 jos.. tampa ada kendala tapi akhir2 ini selalu dan sering premium nya hilang2 sendiri.. jd harus di unistal terus di download lagi lewat akun google yg terdaftar jd premium, utk jd premium lagi dan kejadian ini sering kali terjadi. tolong solusi nya biar premium nya mancep terus",4
"Kurang 1 sih sebenernya ini, kredit ini dia masuknya tetep di kredit, gak masuk ke tunai atau non tunai, sempet ngira salah ngitung, baru ngeh ternyata data di kredit di pisah, jadinya ribet sih kalau gtu, soalnya kan kredit bisa di masukin ke konteks misal apa orang nitip atau minjem, jadi kalau gak tau duitnya masuk kemana atau di ambil darimana, kurang sih 1 ini",4
"untuk saat ini cukup bagus,,, gampang dalam hal pendapatan juga pengeluaran entah kedepannya saya masih belajar belum coba untuk laporan keluarnya",5
sangat membantu untuk pencatatan keuangan rumah tangga...terimakasih walau ada iklan pinjol nya hehe,5
bagus....jadi gampang..biar tau keluar masuk uang,5
trimakasih sudah menciptakan aplikasi yang sangat membantu,5
"sudah bagus, pengalaman pake aplikasi ini buat usaha jamur krispi sangat nyaman, ada statistik yg sangat membantu tambahan min, tolong yg bagian bookmark itu bisa di edit total harganya, jd ketika sy bookmark minyak goreng langsung di edit di bookmark ketika harga naik 😅 sementara tdk bisa di edit, solusinya bikin pengeluaran baru dg harga baru baru simpan bookmark dan hapus bookmark lama 🥹 nnti klo sudah ada fitur edit bookmark total harga dan nama sy beli permanen tanpa iklan min 😁🙏",5
"Aplikasi yg bagus dan cukup komprehensif.. Masukan: 1. Tambahkan menu group, atau divisi. Jadi jika ada beberapa divisi bisa membuat laporan dan grafik masing2..dalam satu aplikasi.. Ie. 1. Laporan keuangan project A 2. Laporan keuangan kebun... Thanks",4
"Bagus aplikasinya, jadi pengelolaan keuangan kita tertata, dan terlihat juga pengeluaran setiap hari nya. Dengan cara ini bisa sedikit meminimalisir pengeluaran yg kurang bermanfaat.. Tp sayang selalu ada iklan yg mengganggu ketika meng input data ke apk nya",4
"Apliksi yang baik dan gampang di pelajari sedkit masukan, mungkin untuk total masuk dan keluar jangan langsung di totalin jumlahnya, di tambahkan kolom selisih ketika pencatatan harian terimakasih, sukses selalu",5
"Halo, sepertinya ada masalah pada aplikasi. Saat isi pengeluaran. Justru aset tidak berkurang malah bertambah. Dan sebaliknya isi pendapatan malah berkurang asetnya... Ini terjadi 3 hari lalu. Mohon perbaikannya",5
lumayan baru saya gunakan satu bulan mudah mudahan jgn ada masalah,5
Aplikasi ini sangat membantu untuk memonitoring pengeluaran kecil,5
"Aplikasi versi gratisnya udah bagus banget. Pertama kali liat sih memang kurang user-friendly, tapi kalo udah dipelajarin bener-bener fiturnya lengkap banget. Paling suka ada fitur akun, yang bisa bikin slot/kantong sesuai kebutuhan (kayak fitur bank-bank digital sekarang). Pake ini sejak September 2021. Rekomen banget 👍✨",5
memudahkan untuk mencatat pengeluaran dan pemasukan,5
sangat mempermudah pencatatan harian keuangan,5
"Mudah digunakan, managemet uang jadi lebih tertata",5
"Sangat memuaskan tetapi untuk berlangganan dalam 1 bulan di bawah 20rb apakah bisa? Soalnya juga orang yg pake cuman tau arus kas masuk / keluar saja,. Tambahan kalau update di bagian scurity aplikasi biar para pengguna akan lebih aman",4
"Aplikasi catatan keuangan terkeren, setelah gue coba beberapa aplikasi. Semangat buat developernya, terimakasih. Sarannya mungkin bisa ada pencatat otomatis yg teringentrasi sama e money atau bank. [Edit] Saran tambahan mungkin bisa menambahkan fitur pengisian otomatis pengeluaran ,jadi pengeluaran yg tiap bulan atau pengluaran rutin yang pasti, tidak usah diisi ulang lagi. Terimakasih",5
"Mantap aplikasinya bagus, ada iklan untuk yg versi gratis tp tdk mengganggu ... Aplikasinya membantu bgt buat catat pengeluaran, saldony jg bisa d pisah jd gampang gk bikin bingung. Kalau bisa untuk saldo tambahan yg d sembunyikan gak masuk d catatan pendapatan, jd pendapatanny kelihatan bersih gk tercampur",5
"Awal nya saya selalu mencatat keuangan saya pengeluaran dan pendapatan melalui Microsoft Word, itu bagus. hanya saja terlalu susah dan tidak simple. setelah saya tidak sengaja menemukan aplikasi ini saya rasa saya menyukai nya. mulai dari tampilan, animasi, fungsi nya.❤️❤️",5
"Sangat mudah cara menggunakannya. Sejauh ini, 100% recommended. Seandainya ada menu untuk quantity juga pasti semakin sempurna, agar pengguna tahu sudah berapa jumlah dari item yang dibelanjakan atau terjual..",5
"Alhamdulillah saya selalu menggunakan aplikasi ini setiap hari, dan sangat membantu. Semoga kedepannya semakin ditingkatkan lagi fitur-fiturnya. Mungkin bisa ditambah fitur agenda, catatan dan pengingat.",5
"Aku suka banget sama ni aplikasi udah make bertahun² lalu, uninstall, install mulu sampe akhirnya install, upgrade jadi premium 200rban aja gak pake langganan perbulan, sekali itu aja udah bisa dipake selamanya, banyak dompetnya, banyak macam²nya jadi leluasa ngitungin segalanya",5
"shoutout buat realbyte inc yang udah buat aplikasi money manager ini, saya jadi merasa terbantu dalam mengelola keuangan pribadi. Saya akan merasa sangat antusias dan tertarik jika aplikasi ini diluncurkan dalam versi PC. Mungkin sudah ada ya, namun dalam bentuk UI/UX yang agak membingungkan dan beda seperti dalam versi HP.",5
"Sangat baik! Selain fitur currency selain IDR, masih banyak yang bisa dikembangkan, seperti dashboard/metrik keuangan yang lebih lengkap (asset growth, expense ratio by category), serta fitur fund goal, budget variance, dan financial health ratio. Tambahkan juga koneksi ke akun bank, serta tips, rekomendasi portofolio, dan financial advice. Jika fitur-fitur tersebut bisa terealisasi, bahkan jika harus langganan tiap bulan pun saya tidak keberatan.",5
applikasi nya sejauh ini sangat membantu untuk pencatatan keuangan,5
"Aplikasinya sangat simple dan mudah dipahami, namun terdapat iklan, itu tidak masalah dan tidak terlalu mengganggu, saya mendukung kedepannya asal tidak terlalu mengganggu. Terimakasih untuk tim dan pembuat aplikasi ini.",4
"Aplikasi terbaik. Iklannya normal dan tidak terlalu menganggu. Fungsi aplikasi berjalan baik. Saran, mungkin akan lebih keren jika aset ditambahkan list asset kripto, lengkap dengan konversi fluktuatifnya ke mata uang biasa. 😁",5
apk yang sangat membantu dan berguna utk pengelolaan budget keuangan,5
"Membantu banget, mudah diakses di hp, bisa pakai beberapa dompet, ada fitur internal transfer antar dompet, mudah edit (nambahin / kurangin) akun pemasukan dan pengeluaran. jd bisa maintain ending balance di 1 aplikasi sekaligus ningkatin akurasi",5
"Aplikasi terbagus, terbaik dan ter work it buat di gunakan.. Fitur2 lengkap,, mudah di gunakan serta berbagai macam detail pencatatan yang nyaman untuk di lihat.. Sangat-sangat direkomendasikan lah pokoknya..",5
"sangat membantu dalam pencatatan keuangan secara detail, selama ini laporan keuangan amburadul gaji abis gak jelas gak ke track kemana aja.. fitur²nya menarik pendidikan, kesehatan, transportasi, makan terpisah.. terima kasih banyak, aplikasinya sangat bermanfaat buat kami",5
